timestamp,X,Y,Z
1649357628071,-0.529412,0.790230,12.098709
1649357628090,-0.737588,1.084846,13.648959
1649357628109,-0.497109,1.296611,13.022937
1649357628128,-0.270688,1.642673,10.994123
1649357628147,-0.421735,1.733600,9.285647
1649357628166,-0.647857,1.592124,8.484949
1649357628185,-0.714856,1.428216,8.453842
1649357628204,-0.726820,1.313361,8.474181
1649357628223,-0.738784,1.235594,8.364112
1649357628242,-0.713659,1.373181,8.197810
1649357628261,-0.621536,1.599602,7.648358
1649357628280,-0.580858,1.879562,6.689435
1649357628299,-0.309272,2.090131,5.933901
1649357628318,-0.348754,2.211267,6.321837
1649357628337,-0.521037,2.381158,7.675876
1649357628356,-0.414557,2.647957,8.878867
1649357628375,-0.183350,2.857628,9.491729
1649357628394,0.059521,2.303391,9.876077
1649357628413,0.100199,1.418645,10.814362
1649357628432,-0.285045,1.363610,12.035299
1649357628451,-0.219242,2.045863,12.578770
1649357628470,0.325424,2.785844,11.955140
1649357628489,0.668794,3.143571,9.760921
1649357628508,0.121735,2.157429,7.924729
1649357628527,-0.354736,0.693320,9.518050
1649357628546,-0.856331,-0.168694,13.354642
1649357628565,-0.856331,0.543769,15.613467
1649357628584,-0.809372,1.172184,14.097913
1649357628603,-0.694517,1.550250,10.868200
1649357628622,-0.698106,2.038685,8.750852
1649357628641,-0.726820,2.061417,8.271988
1649357628660,-0.438485,1.881955,8.701500
1649357628679,-0.280259,1.603191,9.022437
1649357628698,-0.287438,1.271486,8.833404
1649357628717,-0.240778,1.279861,8.452646
1649357628736,-0.172582,1.398306,7.861320
1649357628755,-0.058923,1.698904,7.198209
1649357628774,-0.013460,1.928615,6.766005
1649357628793,0.042772,2.123630,6.592525
1649357628812,0.168395,2.500799,6.823433
1649357628831,-0.052941,2.474478,7.523633
1649357628850,-0.681356,2.183750,8.468200
1649357628869,-1.325325,1.969293,9.805189
1649357628888,-1.482354,2.018346,10.966306
1649357628907,-0.931705,1.698904,11.484652
1649357628926,-0.548555,1.672583,11.823535
1649357628945,-0.442074,1.846063,11.746964
1649357628964,-0.553340,2.701796,11.427223
1649357628983,-0.503091,3.511168,10.366605
1649357629002,0.048754,2.701796,8.821440
1649357629021,0.234198,1.319343,9.058330
1649357629040,-0.226421,0.778266,11.289637
1649357629059,-0.318844,1.052543,13.500605
1649357629078,-0.203689,1.275075,13.304393
1649357629097,-0.257528,1.559821,11.320743
1649357629116,-0.501895,1.605584,9.122935
1649357629135,-0.786640,1.433002,7.872087
1649357629154,-0.793819,1.010369,8.191829
1649357629173,-0.713659,0.895514,9.386445
1649357629192,-0.670589,0.987638,9.922736
1649357629211,-0.712463,1.249951,9.145667
1649357629230,-0.537787,1.491626,7.801499
1649357629249,-0.437288,1.724029,6.702595
1649357629268,-0.335593,2.009971,6.208179
1649357629287,-0.327219,2.210071,6.463014
1649357629306,-0.535394,2.244767,7.332207
1649357629325,-0.635893,2.073381,8.642876
1649357629344,-0.311665,2.074577,10.036395
1649357629363,-0.009870,1.959722,10.703095
1649357629382,-0.207278,1.739582,10.983056
1649357629401,-0.231206,1.563411,11.645269
1649357629420,-0.158225,1.843670,12.081960
1649357629439,0.223430,2.287838,11.719447
1649357629458,0.644866,3.102893,11.113764
1649357629477,0.531207,3.369992,9.608977
1649357629496,0.482154,2.723630,8.703893
1649357629515,0.118146,1.523929,9.571889
1649357629534,-0.168993,0.992423,11.593824
1649357629553,-0.249153,1.200898,12.967902
1649357629572,-0.153440,1.276272,12.199507
1649357629591,-0.523430,1.484447,10.600204
1649357629610,-0.646660,1.609173,9.503694
1649357629629,-0.651446,1.534697,9.058330
1649357629648,-0.555733,1.550250,8.908778
1649357629667,-0.425324,1.586142,8.518449
1649357629686,-0.371486,1.689333,7.991728
1649357629705,-0.149851,1.905883,7.661519
1649357629724,0.015254,2.123630,7.298707
1649357629743,0.021236,2.021935,7.037591
1649357629762,-0.031406,2.116452,6.866504
1649357629781,-0.058923,2.554637,6.847361
1649357629800,-0.245563,2.883950,7.431509
1649357629819,-0.638285,2.900699,8.949456
1649357629838,-0.783051,2.662314,10.254143
1649357629857,-0.739980,2.568994,10.307981
1649357629876,-0.620339,2.318944,10.036395
1649357629895,-0.583251,1.970490,10.254143
1649357629914,-0.800997,1.956133,11.216655
1649357629933,-0.897009,2.267498,11.940784
1649357629952,-0.891027,3.211766,11.506186
1649357629971,-0.998704,3.587739,9.631709
1649357629990,-0.739980,2.633600,8.638090
1649357630009,-0.925723,1.858027,10.004092
1649357630028,-0.846461,1.713261,12.270096
1649357630047,-0.436092,1.770689,13.159328
1649357630066,-0.081655,1.769492,11.807981
1649357630085,0.067896,1.915455,9.831510
1649357630104,-0.026620,2.136791,8.918349
1649357630123,-0.096012,2.015953,8.835796
1649357630142,-0.129512,1.749153,8.798708
1649357630161,-0.121137,1.612762,8.827422
1649357630180,-0.253938,1.654637,8.864511
1649357630199,-0.364307,1.660619,8.423932
1649357630218,-0.184546,1.820938,7.514061
1649357630237,0.043968,2.087738,6.457032
1649357630256,0.130110,2.306980,5.909973
1649357630275,0.205484,2.610869,6.116055
1649357630294,0.308674,2.909074,6.691828
1649357630313,0.313460,2.947359,7.515258
1649357630332,0.288335,2.692225,8.771191
1649357630351,0.237787,2.244767,10.284053
1649357630370,0.017647,1.697708,11.708679
1649357630389,-0.225224,1.714457,12.462718
1649357630408,-0.196511,2.226820,12.386147
1649357630427,0.547956,2.947359,11.567503
1649357630446,1.080659,2.708974,9.665209
1649357630465,0.813560,2.038685,8.562716
1649357630484,0.324227,1.042972,9.944272
1649357630503,0.287139,0.511466,12.891332
1649357630522,0.358923,0.991227,14.606687
1649357630541,0.171984,1.393520,13.401302
1649357630560,-0.244367,1.880759,10.736595
1649357630579,-0.507877,1.999203,9.071489
1649357630598,-0.451645,1.777867,8.644072
1649357630617,-0.233599,1.540679,8.883654
1649357630636,-0.110369,1.222433,8.929117
1649357630655,-0.267099,1.223630,8.768798
1649357630674,-0.197707,1.405484,8.415557
1649357630693,-0.007478,1.606780,7.573882
1649357630712,0.003290,1.831706,6.653543
1649357630731,-0.063709,2.152344,6.173482
1649357630750,-0.154636,2.427818,6.366105
1649357630769,-0.265902,2.399104,7.187441
1649357630788,-0.415753,2.515156,8.258827
1649357630807,-0.680160,2.819343,8.851350
1649357630826,-0.867099,2.420639,9.399606
1649357630845,-1.120738,1.757528,10.771291
1649357630864,-1.175773,1.749153,12.116955
1649357630883,-1.208076,1.887937,12.168401
1649357630902,-1.077667,2.603690,11.500205
1649357630921,-1.243969,3.493222,10.553544
1649357630940,-0.847657,3.010769,9.393623
1649357630959,-0.511466,1.974079,9.407980
1649357630978,-0.817747,1.214058,11.300404
1649357630997,-1.046561,1.033101,13.834702
1649357631016,-0.668196,1.080060,14.580366
1649357631035,-0.477966,1.349253,12.668500
1649357631054,-0.798605,1.902294,10.124930
1649357631073,-0.871885,1.896312,8.557930
1649357631092,-0.751945,1.482054,8.353344
1649357631111,-0.684945,1.198505,9.033205
1649357631130,-0.662214,1.124328,9.384052
1649357631149,-0.725623,1.285843,8.951849
1649357631168,-0.621536,1.504786,7.953444
1649357631187,-0.481556,1.684547,6.947860
1649357631206,-0.461217,1.988436,6.283552
1649357631225,-0.259920,2.370390,6.241678
1649357631244,-0.130708,2.594119,7.049555
1649357631263,-0.125922,2.653939,8.126923
1649357631282,-0.269492,2.411068,8.907581
1649357631301,-0.111565,2.382354,9.531211
1649357631320,0.119342,2.145165,10.097412
1649357631339,0.057129,1.813760,10.916057
1649357631358,-0.119940,1.847259,11.976676
1649357631377,-0.131904,2.085345,12.636197
1649357631396,0.317049,3.015555,12.139687
1649357631415,0.361316,3.092125,9.884451
1649357631434,0.155234,2.334498,8.294720
1649357631453,-0.155833,1.182952,9.861421
1649357631472,-0.314058,0.842872,13.190434
1649357631491,-0.234796,1.245165,14.965909
1649357631510,-0.268295,1.553839,13.378571
1649357631529,-0.616750,2.093720,10.621739
1649357631548,-0.784248,2.290230,8.634501
1649357631567,-0.757927,2.127219,7.779963
1649357631586,-0.603590,1.732404,7.722536
1649357631605,-0.334397,1.333699,8.067102
1649357631624,-0.388235,1.363610,8.470592
1649357631643,-0.487538,1.537089,8.366505
1649357631662,-0.418146,1.867598,7.607381
1649357631681,-0.116351,2.186143,6.560222
1649357631700,0.069093,2.389533,5.748457
1649357631719,0.273978,2.772683,5.777171
1649357631738,0.419940,3.105286,6.284749
1649357631757,0.206680,3.014358,7.465008
1649357631776,-0.117547,2.861218,9.203095
1649357631795,-0.525823,2.444567,10.390533
1649357631814,-0.905384,1.764707,11.047961
1649357631833,-0.955634,1.822134,11.926426
1649357631852,-0.981955,2.263909,12.668500
1649357631871,-1.117149,2.895914,12.481860
1649357631890,-1.137488,3.827021,10.863415
1649357631909,-0.952044,3.172285,8.438289
1649357631928,-0.291326,2.503191,8.590233
1649357631947,-0.267099,1.859223,11.214262
1649357631966,-0.631107,1.722832,13.363017
1649357631985,-0.664607,1.678565,13.205988
1649357632004,-0.235992,1.854438,11.197513
1649357632023,-0.076869,2.106880,8.893225
1649357632042,-0.285045,2.091327,7.849356
1649357632061,-0.221635,1.661815,8.329415
1649357632080,-0.332004,1.217648,9.282058
1649357632099,-0.480359,1.246361,9.741779
1649357632118,-0.589233,1.488037,9.084650
1649357632137,-0.614357,1.694118,7.992925
1649357632156,-0.559322,1.887937,7.077371
1649357632175,-0.541376,2.104487,6.691828
1649357632194,-0.548555,2.493620,6.736095
1649357632213,-0.469591,2.728416,7.036394
1649357632232,-0.413360,2.695814,7.485347
1649357632251,-0.298505,2.356033,8.287541
1649357632270,-0.032602,1.936990,9.593424
1649357632289,0.181555,1.757528,10.619347
1649357632308,0.032004,1.490429,10.972288
1649357632327,-0.283849,1.679762,11.384152
1649357632346,-0.149851,2.121237,11.946765
1649357632365,0.379262,2.883950,11.404491
1649357632384,0.317049,2.997609,8.988937
1649357632403,0.277567,2.212464,7.566703
1649357632422,-0.131904,1.340878,9.061918
1649357632441,-0.196511,1.145863,12.255738
1649357632460,0.309871,1.060918,14.285749
1649357632479,0.466600,1.174577,13.389338
1649357632498,0.348156,1.782653,10.981859
1649357632517,0.268893,2.195714,9.266505
1649357632536,-0.056530,2.041078,8.823833
1649357632555,-0.359522,1.826920,9.097811
1649357632574,-0.373879,1.580160,9.362516
1649357632593,-0.369093,1.508376,9.385248
1649357632612,-0.535394,1.643869,9.167203
1649357632631,-0.652642,1.696511,8.322237
1649357632650,-0.600000,1.902294,7.267601
1649357632669,-0.431306,2.218446,6.567401
1649357632688,-0.476770,2.509174,6.566205
1649357632707,-0.500698,2.757130,7.211369
1649357632726,-0.567697,2.816951,7.845767
1649357632745,-0.613161,2.533102,8.700303
1649357632764,-0.972383,2.274677,9.776475
1649357632783,-0.889831,1.980061,10.439885
1649357632802,-0.495912,1.829313,10.846665
1649357632821,-0.481556,1.926222,11.134103
1649357632840,-0.757927,2.551048,11.300404
1649357632859,-0.592822,3.222534,10.710274
1649357632878,-0.658624,2.732005,9.229416
1649357632897,-0.130708,2.020739,8.920742
1649357632916,-0.552144,1.178166,10.756934
1649357632935,-0.897009,0.909871,13.347464
1649357632954,-0.760319,1.160220,14.249857
1649357632973,-0.424128,1.501197,12.603894
1649357632992,-0.767498,2.167000,10.324731
1649357633011,-0.931705,2.149951,8.640483
1649357633030,-0.820140,1.476072,8.119744
1649357633049,-1.159024,1.294218,8.803493
1649357633068,-1.194916,1.205683,9.587442
1649357633087,-1.147059,1.337289,9.342177
1649357633106,-0.847657,1.621137,8.059924
1649357633125,-0.528216,1.860420,6.500402
1649357633144,-0.320040,2.088934,5.464908
1649357633163,-0.361914,2.170589,5.634798
1649357633182,-0.349950,2.402693,6.811469
1649357633201,-0.143868,2.540280,8.037192
1649357633220,0.018843,2.661118,8.587840
1649357633239,0.047557,2.530709,9.161221
1649357633258,0.132503,2.155933,10.587044
1649357633277,0.009272,1.545464,11.940784
1649357633296,-0.287438,1.654637,12.024532
1649357633315,-0.327219,2.292623,11.580664
1649357633334,0.203091,2.825325,10.693524
1649357633353,0.285942,2.633600,9.078669
1649357633372,-0.127119,1.934597,8.650054
1649357633391,-0.845265,1.239183,10.703095
1649357633410,-0.800997,1.034298,13.532907
1649357633429,-0.302094,1.415056,14.307284
1649357633448,-0.394218,1.299004,12.279667
1649357633467,-0.639482,1.459323,9.980165
1649357633486,-0.719641,1.759921,8.974581
1649357633505,-0.506680,1.714457,9.169596
